depmap_id,cell_iname
ACH-000002,HL60
ACH-000012,HCC827
ACH-000017,SKBR3
ACH-000019,MCF7
ACH-000052,A673
ACH-000048,TOV112D
ACH-000049,HEKTE
ACH-000064,SALE
ACH-000220,MINO
ACH-000090,PC3
ACH-000096,G401
ACH-000097,ZR751
ACH-000938,NALM6
ACH-000115,VCAP
ACH-000116,OAW28
ACH-000123,COV434
ACH-000124,OCILY19
ACH-000142,CAL29
ACH-000146,THP1
ACH-000148,HS578T
ACH-000149,SKNSH
ACH-000158,OCILY3
ACH-000168,NOMO1
ACH-000189,RCC10RGB
ACH-000201,A204
ACH-000218,PL21
ACH-000219,A375
ACH-000232,U251MG
ACH-000292,NCIH841
ACH-000309,SKLU1
ACH-000332,YAPC
ACH-000356,MKN45
ACH-000360,NCIH508
ACH-000364,U2OS
ACH-000365,SUDHL4
ACH-000373,SKM1
ACH-000379,NCIH1781
ACH-000387,TF1
ACH-000396,J82
ACH-000406,U937
ACH-000415,BICR6
ACH-000416,NCIH838
ACH-000423,SKMEL3
ACH-000430,TYKNU
ACH-000431,NCIH1694
ACH-000441,SH4
ACH-000450,MELHO
ACH-000454,HCC95
ACH-000458,CJM
ACH-000465,SKMEL1
ACH-000469,YH13
ACH-000480,HUH7
ACH-000491,NCIH716
ACH-000534,WSUDLCL2
ACH-000541,KMS34
ACH-000545,VMCUB1
ACH-000551,K562
ACH-000552,HT29
ACH-000559,NCIH1836
ACH-000147,T47D
ACH-000587,NCIH1975
ACH-000589,NCIH1437
ACH-000590,NCIH2073
ACH-000593,BC3C
ACH-000595,LN229
ACH-000603,BEN
ACH-000608,COV644
ACH-000615,SKMEL28
ACH-000626,U266B1
ACH-000628,NCIH596
ACH-000650,IGR37
ACH-000651,SW620
ACH-000662,CORL23
ACH-000663,OVTOKO
ACH-000667,HCC44
ACH-000680,SW948
ACH-000681,A549
ACH-000688,OV7
ACH-000696,OVCAR8
ACH-000701,RMUGS
ACH-000719,RMGI
ACH-000730,SKMEL5
ACH-000734,JHH5
ACH-000739,HEPG2
ACH-000756,GI1
ACH-000768,MDAMB231
ACH-000813,T3M10
ACH-000842,SW480
ACH-000848,JHH7
ACH-000849,MDAMB468
ACH-000878,HCC15
ACH-000880,AGS
ACH-000892,NCIH1563
ACH-000895,CL34
ACH-000536,BT20
ACH-000905,5637
ACH-000906,ES2
ACH-000909,JHUEM2
ACH-000916,NCIH1573
ACH-000919,IM95
ACH-000924,NCIH2172
ACH-000925,DV90
ACH-000927,BT474
ACH-000929,NCIH2110
ACH-000935,MDST8
ACH-000936,EFO27
ACH-000940,AN3CA
ACH-000943,RKO
ACH-000946,HEC265
ACH-000947,OVK18
ACH-000950,LOVO
ACH-000954,HEC1A
ACH-000955,SNU407
ACH-000956,22RV1
ACH-000959,SNUC4
ACH-000962,OC314
ACH-000970,SNUC5
ACH-000971,HCT116
ACH-000972,HEC151
ACH-000974,SNGM
ACH-000979,DU145
ACH-000982,GP2D
ACH-000986,HT115
ACH-000988,MFE319
ACH-000990,HEC108
ACH-000996,HEC251
ACH-000998,CW2
ACH-000999,SNU1040
ACH-001061,DLD1
ACH-001078,HCC1588
ACH-001145,OC316
ACH-001146,OCILY10
ACH-001188,SHSY5Y
ACH-000087,SKES1
ACH-000872,HCC515
ACH-001310,HA1E
ACH-001205,TC32
ACH-000995,JURKAT
